reset_timestamp;reset_price;cumulative_volume_before_reset;total_bid;total_ask;total_bid_ask;total_volume;sma;price_tag
2025-10-22 17:01:18.021;25179,25;417;15;13;28;28;25168,05;up
2025-10-22 17:02:04.021;25186,75;551;20;0;20;20;25173,645;up
2025-10-22 17:08:17.021;25157,0;362;30;0;30;30;25176,24375;down
2025-10-22 17:12:57.021;25128,5;440;15;4;19;19;25146,82875;down
2025-10-22 17:22:36.021;25064,5;472;6;66;72;72;25101,96875;down
2025-10-22 17:23:24.021;25033,25;1602;0;45;45;45;25084,9325;down
2025-10-22 17:24:27.021;25034,75;715;0;16;16;16;25060,305;down
2025-10-22 17:30:55.021;25006,75;750;14;6;20;20;25035,50875;down
2025-10-22 17:34:20.021;25049,0;647;11;10;21;21;25031,9825;up
2025-10-22 17:41:44.021;25058,25;855;3;4;7;7;25044,7475;up
2025-10-22 17:45:58.021;25084,5;571;2;6;8;8;25065,755;up
2025-10-22 17:50:32.021;25110,25;356;23;5;28;28;25099,19875;up
2025-10-22 17:51:21.021;25118,0;365;5;2;7;7;25103,68;up
2025-10-22 17:53:55.021;25109,5;402;12;12;24;24;25116,195;down
2025-10-22 18:01:09.021;25095,0;372;1;25;26;26;25102,38875;down
2025-10-22 18:02:27.021;25074,25;300;27;1;28;28;25093,4725;down
2025-10-22 18:31:38.021;24941,25;10822;14;20;34;34;25005,1475;down
2025-10-22 18:33:41.021;24936,25;4484;37;0;37;37;24929,54875;up
2025-10-22 18:34:16.021;24948,25;615;16;52;68;68;24923,97625;up
2025-10-22 18:34:49.021;24992,75;483;587;11;598;598;24928,1325;up
2025-10-22 18:35:52.021;25006,5;1631;69;6;75;75;24954,325;up
2025-10-22 18:38:06.021;24983,5;496;3;8;11;11;24993,8425;down
2025-10-22 18:50:33.021;24970,0;770;13;4;17;17;24981,175;down
2025-10-22 18:55:22.021;25032,0;312;2;29;31;31;24997,59375;up
2025-10-22 18:56:07.021;25013,0;343;56;35;91;91;25007,07875;up
2025-10-22 18:56:31.021;25003,75;353;0;11;11;11;25009,09375;down
2025-10-22 18:59:31.021;24994,5;647;24;6;30;30;25013,57625;down
2025-10-22 19:13:05.021;24957,5;729;0;32;32;32;24975,9275;down
2025-10-22 19:15:00.021;24933,5;663;4;13;17;17;24959,67375;down
2025-10-22 19:16:24.021;24916,25;559;5;3;8;8;24940,015;down
2025-10-22 19:19:10.021;24921,0;787;5;2;7;7;24927,1975;down
2025-10-22 19:38:14.021;24878,25;537;14;27;41;41;24903,6525;down
2025-10-22 19:39:29.021;24866,0;533;5;23;28;28;24887,925;down
2025-10-22 19:40:21.021;24856,5;326;2;28;30;30;24874,90125;down
2025-10-22 19:42:09.021;24829,75;336;2;4;6;6;24856,565;down
2025-10-22 19:55:00.021;24810,75;417;9;2;11;11;24828,53625;down
2025-10-22 20:03:29.021;24901,25;418;4;5;9;9;24898,38375;up
2025-10-22 20:14:51.021;24867,5;656;8;14;22;22;24882,38125;down
2025-10-22 20:25:02.021;24935,0;319;10;16;26;26;24922,3325;up
2025-10-22 20:32:02.021;24897,75;520;2;37;39;39;24914,09625;down
2025-10-22 20:50:35.021;24912,75;481;34;26;60;60;24932,28875;down
2025-10-22 20:56:12.021;24926,0;523;0;43;43;43;24923,075;up
2025-10-22 21:01:53.021;24950,25;989;2;17;19;19;24955,8725;down
2025-10-22 21:02:58.021;24938,25;303;6;6;12;12;24953,9125;down
2025-10-22 21:08:46.021;24988,75;433;0;41;41;41;24976,68875;up
2025-10-22 21:15:10.021;24993,5;378;14;4;18;18;24989,49375;up
2025-10-22 21:20:31.021;25003,75;545;1;12;13;13;24993,44125;up
2025-10-22 21:40:19.021;25049,5;503;6;8;14;14;25043,34;up
2025-10-22 21:50:16.021;25033,75;412;0;12;12;12;25024,97125;up
2025-10-22 21:55:16.021;25029,75;307;0;6;6;6;25029,61125;up
2025-10-22 22:00:26.021;25041,5;5166;21;13;34;34;25032,395;up
