index;timestamp;price;type;direction;confirmed
420;2025-10-09 13:01:00;25316,5;VALLE;down;True
421;2025-10-09 13:05:00;25327,75;PICO;up;True
425;2025-10-09 13:06:00;25321,5;VALLE;down;True
426;2025-10-09 13:07:00;25329,75;PICO;up;True
427;2025-10-09 13:08:00;25319,5;VALLE;down;True
429;2025-10-09 13:10:00;25329,75;PICO;up;True
436;2025-10-09 13:17:00;25318,5;VALLE;down;True
437;2025-10-09 13:19:00;25325,25;PICO;up;True
439;2025-10-09 13:20:00;25319,75;VALLE;down;True
450;2025-10-09 13:30:00;25341,25;PICO;up;True
451;2025-10-09 13:31:00;25333,25;VALLE;down;True
452;2025-10-09 13:32:00;25341,0;PICO;up;True
454;2025-10-09 13:34:00;25331,0;VALLE;down;True
454;2025-10-09 13:35:00;25338,0;PICO;up;True
455;2025-10-09 13:37:00;25325,75;VALLE;down;True
458;2025-10-09 13:42:00;25333,75;PICO;up;True
466;2025-10-09 13:47:00;25317,5;VALLE;down;True
469;2025-10-09 13:51:00;25328,75;PICO;up;True
471;2025-10-09 13:53:00;25322,0;VALLE;down;True
473;2025-10-09 13:54:00;25327,5;PICO;up;True
478;2025-10-09 13:58:00;25316,0;VALLE;down;True
478;2025-10-09 13:59:00;25321,25;PICO;up;True
479;2025-10-09 14:00:00;25311,75;VALLE;down;True
480;2025-10-09 14:01:00;25325,75;PICO;up;True
481;2025-10-09 14:02:00;25318,0;VALLE;down;True
482;2025-10-09 14:03:00;25327,0;PICO;up;True
484;2025-10-09 14:04:00;25315,5;VALLE;down;True
484;2025-10-09 14:05:00;25326,0;PICO;up;True
486;2025-10-09 14:06:00;25317,0;VALLE;down;True
487;2025-10-09 14:08:00;25324,0;PICO;up;True
494;2025-10-09 14:15:00;25310,5;VALLE;down;True
499;2025-10-09 14:20:00;25321,75;PICO;up;True
500;2025-10-09 14:22:00;25314,75;VALLE;down;True
507;2025-10-09 14:28:00;25324,75;PICO;up;True
508;2025-10-09 14:29:00;25318,25;VALLE;down;True
510;2025-10-09 14:30:00;25332,75;PICO;up;True
510;2025-10-09 14:31:00;25318,0;VALLE;down;True
511;2025-10-09 14:32:00;25328,75;PICO;up;True
512;2025-10-09 14:33:00;25316,5;VALLE;down;True
513;2025-10-09 14:35:00;25327,5;PICO;up;True
515;2025-10-09 14:36:00;25318,25;VALLE;down;True
517;2025-10-09 14:38:00;25329,75;PICO;up;True
518;2025-10-09 14:40:00;25324,0;VALLE;down;True
520;2025-10-09 14:41:00;25329,25;PICO;up;True
522;2025-10-09 14:43:00;25318,75;VALLE;down;True
524;2025-10-09 14:45:00;25329,5;PICO;up;True
529;2025-10-09 14:50:00;25317,25;VALLE;down;True
531;2025-10-09 14:51:00;25329,0;PICO;up;True
531;2025-10-09 14:52:00;25323,75;VALLE;down;True
540;2025-10-09 15:01:00;25334,5;PICO;up;True
542;2025-10-09 15:05:00;25325,0;VALLE;down;True
545;2025-10-09 15:06:00;25331,0;PICO;up;True
547;2025-10-09 15:07:00;25318,75;VALLE;down;True
547;2025-10-09 15:09:00;25326,75;PICO;up;True
551;2025-10-09 15:11:00;25315,0;VALLE;down;True
551;2025-10-09 15:13:00;25321,25;PICO;up;True
554;2025-10-09 15:15:00;25314,25;VALLE;down;True
557;2025-10-09 15:17:00;25325,75;PICO;up;True
557;2025-10-09 15:18:00;25319,0;VALLE;down;True
558;2025-10-09 15:19:00;25329,75;PICO;up;True
560;2025-10-09 15:22:00;25322,75;VALLE;down;True
564;2025-10-09 15:24:00;25334,0;PICO;up;True
565;2025-10-09 15:25:00;25325,0;VALLE;down;True
565;2025-10-09 15:26:00;25334,0;PICO;up;True
567;2025-10-09 15:27:00;25317,0;VALLE;down;True
568;2025-10-09 15:28:00;25331,0;PICO;up;True
568;2025-10-09 15:29:00;25321,25;VALLE;down;True
569;2025-10-09 15:30:00;25337,75;PICO;up;True
570;2025-10-09 15:31:00;25307,5;VALLE;down;True
571;2025-10-09 15:32:00;25334,75;PICO;up;True
573;2025-10-09 15:33:00;25297,0;VALLE;down;True
573;2025-10-09 15:34:00;25316,0;PICO;up;True
575;2025-10-09 15:35:00;25292,5;VALLE;down;True
576;2025-10-09 15:36:00;25315,0;PICO;up;True
577;2025-10-09 15:37:00;25295,5;VALLE;down;True
577;2025-10-09 15:38:00;25315,25;PICO;up;True
578;2025-10-09 15:39:00;25290,5;VALLE;down;True
579;2025-10-09 15:40:00;25306,0;PICO;up;True
581;2025-10-09 15:41:00;25271,5;VALLE;down;True
581;2025-10-09 15:42:00;25292,25;PICO;up;True
582;2025-10-09 15:43:00;25258,75;VALLE;down;True
584;2025-10-09 15:44:00;25281,75;PICO;up;True
585;2025-10-09 15:45:00;25253,75;VALLE;down;True
585;2025-10-09 15:46:00;25277,0;PICO;up;True
586;2025-10-09 15:47:00;25254,75;VALLE;down;True
588;2025-10-09 15:48:00;25295,25;PICO;up;True
588;2025-10-09 15:49:00;25272,75;VALLE;down;True
590;2025-10-09 15:50:00;25309,5;PICO;up;True
591;2025-10-09 15:51:00;25278,25;VALLE;down;True
591;2025-10-09 15:52:00;25316,75;PICO;up;True
593;2025-10-09 15:53:00;25265,0;VALLE;down;True
593;2025-10-09 15:54:00;25288,25;PICO;up;True
595;2025-10-09 15:55:00;25251,5;VALLE;down;True
596;2025-10-09 15:56:00;25275,5;PICO;up;True
596;2025-10-09 15:57:00;25254,75;VALLE;down;True
598;2025-10-09 15:58:00;25294,25;PICO;up;True
599;2025-10-09 15:59:00;25276,0;VALLE;down;True
599;2025-10-09 16:00:00;25291,5;PICO;up;True
600;2025-10-09 16:01:00;25264,0;VALLE;down;True
601;2025-10-09 16:02:00;25277,5;PICO;up;True
602;2025-10-09 16:03:00;25261,25;VALLE;down;True
604;2025-10-09 16:04:00;25286,0;PICO;up;True
605;2025-10-09 16:05:00;25272,75;VALLE;down;True
606;2025-10-09 16:06:00;25286,25;PICO;up;True
606;2025-10-09 16:07:00;25276,25;VALLE;down;True
607;2025-10-09 16:08:00;25288,75;PICO;up;True
609;2025-10-09 16:09:00;25262,0;VALLE;down;True
610;2025-10-09 16:10:00;25279,25;PICO;up;True
611;2025-10-09 16:11:00;25267,25;VALLE;down;True
612;2025-10-09 16:12:00;25278,0;PICO;up;True
612;2025-10-09 16:13:00;25265,5;VALLE;down;True
614;2025-10-09 16:14:00;25277,5;PICO;up;True
615;2025-10-09 16:15:00;25258,0;VALLE;down;True
616;2025-10-09 16:16:00;25274,75;PICO;up;True
617;2025-10-09 16:17:00;25257,0;VALLE;down;True
618;2025-10-09 16:18:00;25273,25;PICO;up;True
618;2025-10-09 16:19:00;25259,75;VALLE;down;True
619;2025-10-09 16:20:00;25275,75;PICO;up;True
621;2025-10-09 16:21:00;25244,25;VALLE;down;True
621;2025-10-09 16:22:00;25264,5;PICO;up;True
622;2025-10-09 16:23:00;25253,5;VALLE;down;True
624;2025-10-09 16:24:00;25276,75;PICO;up;True
625;2025-10-09 16:25:00;25260,75;VALLE;down;True
625;2025-10-09 16:26:00;25274,0;PICO;up;True
627;2025-10-09 16:27:00;25251,5;VALLE;down;True
628;2025-10-09 16:28:00;25261,75;PICO;up;True
629;2025-10-09 16:29:00;25247,0;VALLE;down;True
629;2025-10-09 16:30:00;25261,0;PICO;up;True
631;2025-10-09 16:31:00;25226,0;VALLE;down;True
631;2025-10-09 16:32:00;25248,0;PICO;up;True
632;2025-10-09 16:33:00;25226,25;VALLE;down;True
633;2025-10-09 16:34:00;25246,75;PICO;up;True
635;2025-10-09 16:35:00;25215,0;VALLE;down;True
635;2025-10-09 16:36:00;25229,25;PICO;up;True
636;2025-10-09 16:37:00;25216,5;VALLE;down;True
637;2025-10-09 16:38:00;25233,0;PICO;up;True
639;2025-10-09 16:39:00;25209,0;VALLE;down;True
640;2025-10-09 16:40:00;25229,25;PICO;up;True
641;2025-10-09 16:41:00;25210,0;VALLE;down;True
641;2025-10-09 16:42:00;25233,0;PICO;up;True
643;2025-10-09 16:43:00;25204,0;VALLE;down;True
644;2025-10-09 16:44:00;25215,25;PICO;up;True
645;2025-10-09 16:45:00;25193,5;VALLE;down;True
646;2025-10-09 16:46:00;25220,5;PICO;up;True
646;2025-10-09 16:47:00;25197,75;VALLE;down;True
647;2025-10-09 16:48:00;25220,0;PICO;up;True
648;2025-10-09 16:49:00;25207,0;VALLE;down;True
650;2025-10-09 16:50:00;25238,75;PICO;up;True
650;2025-10-09 16:51:00;25228,75;VALLE;down;True
652;2025-10-09 16:52:00;25243,25;PICO;up;True
653;2025-10-09 16:53:00;25233,0;VALLE;down;True
653;2025-10-09 16:54:00;25243,5;PICO;up;True
654;2025-10-09 16:55:00;25235,25;VALLE;down;True
656;2025-10-09 16:56:00;25246,5;PICO;up;True
656;2025-10-09 16:57:00;25239,5;VALLE;down;True
658;2025-10-09 16:58:00;25260,0;PICO;up;True
659;2025-10-09 16:59:00;25246,25;VALLE;down;True
660;2025-10-09 17:00:00;25267,0;PICO;up;True
660;2025-10-09 17:01:00;25251,5;VALLE;down;True
661;2025-10-09 17:02:00;25266,75;PICO;up;True
662;2025-10-09 17:03:00;25241,75;VALLE;down;True
664;2025-10-09 17:04:00;25260,0;PICO;up;True
664;2025-10-09 17:05:00;25253,75;VALLE;down;True
665;2025-10-09 17:06:00;25265,0;PICO;up;True
667;2025-10-09 17:07:00;25244,5;VALLE;down;True
667;2025-10-09 17:08:00;25260,25;PICO;up;True
668;2025-10-09 17:09:00;25245,0;VALLE;down;True
670;2025-10-09 17:10:00;25266,5;PICO;up;True
671;2025-10-09 17:11:00;25249,5;VALLE;down;True
672;2025-10-09 17:12:00;25260,25;PICO;up;True
672;2025-10-09 17:13:00;25253,5;VALLE;down;True
673;2025-10-09 17:14:00;25260,25;PICO;up;True
674;2025-10-09 17:15:00;25254,75;VALLE;down;True
676;2025-10-09 17:16:00;25273,75;PICO;up;True
677;2025-10-09 17:17:00;25260,0;VALLE;down;True
677;2025-10-09 17:18:00;25268,75;PICO;up;True
678;2025-10-09 17:19:00;25253,25;VALLE;down;True
679;2025-10-09 17:20:00;25264,5;PICO;up;True
681;2025-10-09 17:21:00;25242,75;VALLE;down;True
681;2025-10-09 17:22:00;25258,5;PICO;up;True
683;2025-10-09 17:23:00;25234,25;VALLE;down;True
683;2025-10-09 17:24:00;25253,75;PICO;up;True
684;2025-10-09 17:25:00;25230,0;VALLE;down;True
685;2025-10-09 17:26:00;25240,75;PICO;up;True
687;2025-10-09 17:27:00;25226,0;VALLE;down;True
688;2025-10-09 17:28:00;25235,5;PICO;up;True
689;2025-10-09 17:29:00;25222,75;VALLE;down;True
689;2025-10-09 17:30:00;25232,5;PICO;up;True
691;2025-10-09 17:31:00;25219,0;VALLE;down;True
691;2025-10-09 17:32:00;25229,5;PICO;up;True
693;2025-10-09 17:33:00;25217,25;VALLE;down;True
693;2025-10-09 17:34:00;25228,25;PICO;up;True
695;2025-10-09 17:35:00;25197,75;VALLE;down;True
696;2025-10-09 17:36:00;25219,25;PICO;up;True
696;2025-10-09 17:37:00;25205,75;VALLE;down;True
698;2025-10-09 17:38:00;25235,75;PICO;up;True
698;2025-10-09 17:39:00;25221,25;VALLE;down;True
699;2025-10-09 17:40:00;25232,0;PICO;up;True
701;2025-10-09 17:41:00;25210,5;VALLE;down;True
702;2025-10-09 17:42:00;25219,75;PICO;up;True
702;2025-10-09 17:43:00;25209,5;VALLE;down;True
704;2025-10-09 17:44:00;25220,5;PICO;up;True
704;2025-10-09 17:45:00;25213,75;VALLE;down;True
706;2025-10-09 17:46:00;25230,75;PICO;up;True
706;2025-10-09 17:47:00;25215,5;VALLE;down;True
708;2025-10-09 17:48:00;25235,0;PICO;up;True
708;2025-10-09 17:49:00;25225,75;VALLE;down;True
710;2025-10-09 17:50:00;25255,75;PICO;up;True
710;2025-10-09 17:51:00;25246,75;VALLE;down;True
712;2025-10-09 17:52:00;25264,5;PICO;up;True
712;2025-10-09 17:53:00;25255,25;VALLE;down;True
714;2025-10-09 17:54:00;25265,5;PICO;up;True
714;2025-10-09 17:55:00;25257,25;VALLE;down;True
715;2025-10-09 17:56:00;25269,75;PICO;up;True
717;2025-10-09 17:57:00;25261,0;VALLE;down;True
718;2025-10-09 17:58:00;25274,5;PICO;up;True
719;2025-10-09 17:59:00;25262,75;VALLE;down;True
720;2025-10-09 18:00:00;25272,0;PICO;up;True
720;2025-10-09 18:01:00;25263,25;VALLE;down;True
721;2025-10-09 18:02:00;25271,75;PICO;up;True
722;2025-10-09 18:03:00;25259,0;VALLE;down;True
724;2025-10-09 18:04:00;25270,75;PICO;up;True
724;2025-10-09 18:05:00;25265,0;VALLE;down;True
726;2025-10-09 18:07:00;25272,25;PICO;up;True
727;2025-10-09 18:08:00;25254,25;VALLE;down;True
729;2025-10-09 18:09:00;25270,0;PICO;up;True
730;2025-10-09 18:10:00;25261,0;VALLE;down;True
730;2025-10-09 18:11:00;25267,75;PICO;up;True
731;2025-10-09 18:12:00;25260,25;VALLE;down;True
733;2025-10-09 18:13:00;25274,0;PICO;up;True
734;2025-10-09 18:14:00;25261,5;VALLE;down;True
734;2025-10-09 18:15:00;25267,0;PICO;up;True
735;2025-10-09 18:16:00;25258,25;VALLE;down;True
737;2025-10-09 18:17:00;25269,75;PICO;up;True
737;2025-10-09 18:18:00;25261,25;VALLE;down;True
739;2025-10-09 18:19:00;25273,25;PICO;up;True
740;2025-10-09 18:20:00;25249,0;VALLE;down;True
740;2025-10-09 18:21:00;25261,75;PICO;up;True
742;2025-10-09 18:22:00;25235,75;VALLE;down;True
743;2025-10-09 18:23:00;25251,25;PICO;up;True
743;2025-10-09 18:24:00;25234,75;VALLE;down;True
745;2025-10-09 18:25:00;25262,5;PICO;up;True
745;2025-10-09 18:26:00;25245,75;VALLE;down;True
747;2025-10-09 18:27:00;25260,25;PICO;up;True
747;2025-10-09 18:28:00;25249,0;VALLE;down;True
748;2025-10-09 18:29:00;25264,75;PICO;up;True
749;2025-10-09 18:30:00;25250,5;VALLE;down;True
751;2025-10-09 18:32:00;25257,25;PICO;up;True
752;2025-10-09 18:33:00;25247,75;VALLE;down;True
754;2025-10-09 18:35:00;25260,25;PICO;up;True
755;2025-10-09 18:36:00;25249,75;VALLE;down;True
757;2025-10-09 18:37:00;25261,5;PICO;up;True
758;2025-10-09 18:38:00;25248,0;VALLE;down;True
758;2025-10-09 18:39:00;25257,75;PICO;up;True
760;2025-10-09 18:40:00;25235,25;VALLE;down;True
760;2025-10-09 18:41:00;25251,75;PICO;up;True
762;2025-10-09 18:42:00;25217,0;VALLE;down;True
763;2025-10-09 18:43:00;25244,75;PICO;up;True
763;2025-10-09 18:44:00;25226,0;VALLE;down;True
765;2025-10-09 18:45:00;25254,75;PICO;up;True
765;2025-10-09 18:46:00;25237,5;VALLE;down;True
767;2025-10-09 18:47:00;25254,0;PICO;up;True
767;2025-10-09 18:48:00;25241,75;VALLE;down;True
769;2025-10-09 18:49:00;25259,75;PICO;up;True
770;2025-10-09 18:50:00;25247,75;VALLE;down;True
770;2025-10-09 18:51:00;25260,25;PICO;up;True
772;2025-10-09 18:52:00;25242,0;VALLE;down;True
772;2025-10-09 18:53:00;25251,25;PICO;up;True
774;2025-10-09 18:54:00;25221,25;VALLE;down;True
774;2025-10-09 18:55:00;25244,5;PICO;up;True
776;2025-10-09 18:56:00;25221,5;VALLE;down;True
776;2025-10-09 18:57:00;25229,75;PICO;up;True
778;2025-10-09 18:58:00;25196,5;VALLE;down;True
778;2025-10-09 18:59:00;25212,75;PICO;up;True
779;2025-10-09 19:00:00;25196,0;VALLE;down;True
781;2025-10-09 19:01:00;25219,5;PICO;up;True
782;2025-10-09 19:02:00;25203,75;VALLE;down;True
782;2025-10-09 19:03:00;25219,0;PICO;up;True
783;2025-10-09 19:04:00;25194,0;VALLE;down;True
785;2025-10-09 19:05:00;25213,75;PICO;up;True
785;2025-10-09 19:06:00;25191,75;VALLE;down;True
787;2025-10-09 19:07:00;25217,75;PICO;up;True
787;2025-10-09 19:08:00;25207,25;VALLE;down;True
789;2025-10-09 19:09:00;25233,75;PICO;up;True
790;2025-10-09 19:10:00;25208,75;VALLE;down;True
790;2025-10-09 19:11:00;25226,25;PICO;up;True
792;2025-10-09 19:12:00;25203,25;VALLE;down;True
793;2025-10-09 19:13:00;25213,5;PICO;up;True
794;2025-10-09 19:14:00;25191,75;VALLE;down;True
795;2025-10-09 19:15:00;25207,25;PICO;up;True
796;2025-10-09 19:16:00;25185,75;VALLE;down;True
796;2025-10-09 19:17:00;25199,5;PICO;up;True
798;2025-10-09 19:18:00;25174,25;VALLE;down;True
799;2025-10-09 19:19:00;25196,75;PICO;up;True
799;2025-10-09 19:20:00;25184,5;VALLE;down;True
801;2025-10-09 19:21:00;25213,75;PICO;up;True
801;2025-10-09 19:22:00;25191,25;VALLE;down;True
803;2025-10-09 19:23:00;25204,75;PICO;up;True
804;2025-10-09 19:24:00;25187,25;VALLE;down;True
804;2025-10-09 19:25:00;25199,0;PICO;up;True
806;2025-10-09 19:26:00;25180,25;VALLE;down;True
806;2025-10-09 19:27:00;25193,0;PICO;up;True
807;2025-10-09 19:28:00;25175,25;VALLE;down;True
809;2025-10-09 19:29:00;25185,75;PICO;up;True
810;2025-10-09 19:30:00;25162,25;VALLE;down;True
811;2025-10-09 19:31:00;25187,75;PICO;up;True
811;2025-10-09 19:32:00;25171,5;VALLE;down;True
812;2025-10-09 19:33:00;25184,75;PICO;up;True
813;2025-10-09 19:34:00;25172,5;VALLE;down;True
814;2025-10-09 19:35:00;25180,5;PICO;up;True
815;2025-10-09 19:36:00;25160,75;VALLE;down;True
817;2025-10-09 19:37:00;25195,0;PICO;up;True
817;2025-10-09 19:38:00;25178,5;VALLE;down;True
819;2025-10-09 19:39:00;25203,5;PICO;up;True
819;2025-10-09 19:40:00;25197,0;VALLE;down;True
820;2025-10-09 19:41:00;25212,25;PICO;up;True
822;2025-10-09 19:42:00;25194,0;VALLE;down;True
822;2025-10-09 19:43:00;25204,25;PICO;up;True
823;2025-10-09 19:44:00;25187,5;VALLE;down;True
825;2025-10-09 19:45:00;25203,25;PICO;up;True
826;2025-10-09 19:46:00;25192,0;VALLE;down;True
827;2025-10-09 19:47:00;25206,25;PICO;up;True
827;2025-10-09 19:48:00;25196,5;VALLE;down;True
829;2025-10-09 19:49:00;25211,75;PICO;up;True
829;2025-10-09 19:50:00;25202,25;VALLE;down;True
831;2025-10-09 19:51:00;25218,0;PICO;up;True
832;2025-10-09 19:52:00;25197,5;VALLE;down;True
832;2025-10-09 19:53:00;25207,25;PICO;up;True
833;2025-10-09 19:54:00;25198,5;VALLE;down;True
834;2025-10-09 19:55:00;25209,75;PICO;up;True
835;2025-10-09 19:56:00;25200,0;VALLE;down;True
