timestamp;shape;close_price;previous_close;price_change;price_change_pct;total_bid;total_ask;bid_ask_ratio;num_price_levels;lower_bid_volume;upper_ask_volume;max_lower_bid;max_upper_ask;bid_concentration;ask_concentration
2025-10-20 18:19:44.500;p_shape;25318,25;25318,0;0,25;0,0009874397661742633;124,0;64,0;1,9375;18;38,0;47,0;7,0;24,0;0,3064516129032258;0,734375
2025-10-20 18:19:56.500;d_shape;25317,0;25317,75;-0,75;-0,002962348549930385;35,0;43,0;0,813953488372093;11;29,0;9,0;11,0;2,0;0,8285714285714286;0,20930232558139536
2025-10-20 18:20:36.500;d_shape;25310,5;25311,75;-1,25;-0,004938417928432448;53,0;101,0;0,5247524752475248;16;44,0;33,0;27,0;9,0;0,8301886792452831;0,32673267326732675
2025-10-20 18:20:42.500;d_shape;25308,0;25308,25;-0,25;-0,0009878201772149397;106,0;110,0;0,9636363636363636;19;102,0;53,0;59,0;9,0;0,9622641509433962;0,4818181818181818
2025-10-20 18:20:43.500;d_shape;25307,75;25308,0;-0,25;-0,0009878299351983562;114,0;116,0;0,9827586206896551;19;111,0;50,0;59,0;9,0;0,9736842105263158;0,43103448275862066
2025-10-20 18:21:04.500;d_shape;25303,0;25303,25;-0,25;-0,000988015373519212;21,0;40,0;0,525;10;17,0;5,0;10,0;2,0;0,8095238095238095;0,125
2025-10-20 18:21:13.500;p_shape;25308,75;25308,5;0,25;0,000987810419424304;31,0;20,0;1,55;11;7,0;17,0;3,0;5,0;0,22580645161290322;0,85
2025-10-20 18:22:05.500;d_shape;25304,75;25305,5;-0,75;-0,0029637825769101575;12,0;37,0;0,32432432432432434;12;9,0;12,0;5,0;5,0;0,75;0,32432432432432434
2025-10-20 18:22:26.500;d_shape;25306,0;25306,25;-0,25;-0,0009878982464806125;27,0;28,0;0,9642857142857143;10;23,0;11,0;18,0;5,0;0,8518518518518519;0,39285714285714285
2025-10-20 18:22:45.500;d_shape;25303,25;25304,0;-0,75;-0,002963958267467594;25,0;55,0;0,45454545454545453;17;19,0;23,0;7,0;7,0;0,76;0,41818181818181815
2025-10-20 18:22:46.500;d_shape;25301,75;25303,25;-1,5;-0,005928092241115272;25,0;66,0;0,3787878787878788;19;20,0;31,0;7,0;7,0;0,8;0,4696969696969697
2025-10-20 18:25:29.500;p_shape;25309,25;25307,75;1,5;0,005927038160247355;112,0;90,0;1,2444444444444445;17;48,0;75,0;11,0;63,0;0,42857142857142855;0,8333333333333334
2025-10-20 18:25:41.500;p_shape;25305,25;25304,5;0,75;0,0029638997016340966;66,0;116,0;0,5689655172413793;11;31,0;108,0;10,0;42,0;0,4696969696969697;0,9310344827586207
2025-10-20 18:26:30.500;p_shape;25311,25;25309,5;1,75;0,006914399731326181;68,0;26,0;2,6153846153846154;17;35,0;19,0;8,0;7,0;0,5147058823529411;0,7307692307692307
2025-10-20 18:26:31.500;p_shape;25312,25;25311,25;1,0;0,00395081238579683;102,0;50,0;2,04;21;50,0;40,0;8,0;12,0;0,49019607843137253;0,8
2025-10-20 18:26:46.500;p_shape;25311,5;25310,25;1,25;0,004938710601436178;20,0;20,0;1,0;10;12,0;14,0;7,0;5,0;0,6;0,7
2025-10-20 18:27:48.500;d_shape;25315,5;25316,75;-1,25;-0,004937442602229749;56,0;87,0;0,6436781609195402;12;40,0;18,0;13,0;6,0;0,7142857142857143;0,20689655172413793
2025-10-20 18:28:01.500;d_shape;25313,75;25314,75;-1,0;-0,003950266149181801;35,0;42,0;0,8333333333333334;11;25,0;12,0;11,0;8,0;0,7142857142857143;0,2857142857142857
