entry_time;entry_price;exit_time;exit_price;side;tp_price;sl_price;entry_bid_density;entry_ask_density;entry_net_density;filter_mode;resultado;profit_points;profit_dollars;contracts;cumulative_profit
2025-10-09 18:34:40.500;25257,5;2025-10-09 18:34:52.500;25255,5;SHORT;25255,5;25259,5;1;3;2;MODO_1;TP;2,0;40,0;1;5200,0
2025-10-09 18:36:12.000;25250,75;2025-10-09 18:36:17.500;25252,75;LONG;25252,75;25248,75;6;0;-6;MODO_1;TP;2,0;40,0;1;5240,0
2025-10-09 18:37:11.000;25259,0;2025-10-09 18:37:12.000;25261,0;LONG;25261,0;25257,0;6;0;-6;MODO_1;TP;2,0;40,0;1;5280,0
2025-10-09 18:38:58.500;25249,0;2025-10-09 18:39:09.500;25251,0;SHORT;25247,0;25251,0;0;5;5;MODO_1;SL;-2,0;-40,0;1;5240,0
2025-10-09 18:40:35.500;25239,0;2025-10-09 18:40:37.500;25237,0;LONG;25241,0;25237,0;10;10;0;MODO_1;SL;-2,0;-40,0;1;5200,0
2025-10-09 18:40:49.500;25236,25;2025-10-09 18:40:51.000;25238,25;SHORT;25234,25;25238,25;10;11;1;MODO_1;SL;-2,0;-40,0;1;5160,0
2025-10-09 18:40:51.500;25239,0;2025-10-09 18:41:01.500;25237,0;LONG;25241,0;25237,0;10;11;1;MODO_1;SL;-2,0;-40,0;1;5120,0
2025-10-09 18:41:22.000;25232,5;2025-10-09 18:41:24.000;25230,5;SHORT;25230,5;25234,5;12;11;-1;MODO_1;TP;2,0;40,0;1;5160,0
2025-10-09 18:41:52.500;25223,25;2025-10-09 18:41:59.500;25221,25;SHORT;25221,25;25225,25;12;11;-1;MODO_1;TP;2,0;40,0;1;5200,0
2025-10-09 18:42:05.500;25223,25;2025-10-09 18:42:10.000;25221,25;SHORT;25221,25;25225,25;11;11;0;MODO_1;TP;2,0;40,0;1;5240,0
2025-10-09 18:42:50.500;25225,25;2025-10-09 18:42:52.000;25227,25;LONG;25227,25;25223,25;10;11;1;MODO_1;TP;2,0;40,0;1;5280,0
2025-10-09 18:44:03.500;25240,25;2025-10-09 18:44:04.500;25238,25;SHORT;25238,25;25242,25;5;10;5;MODO_1;TP;2,0;40,0;1;5320,0
2025-10-09 18:44:13.000;25238,25;2025-10-09 18:44:23.500;25240,25;LONG;25240,25;25236,25;7;10;3;MODO_1;TP;2,0;40,0;1;5360,0
2025-10-09 18:44:54.000;25240,25;2025-10-09 18:45:07.500;25238,25;SHORT;25238,25;25242,25;6;13;7;MODO_1;TP;2,0;40,0;1;5400,0
2025-10-09 18:45:34.500;25252,75;2025-10-09 18:45:34.500;25254,75;LONG;25254,75;25250,75;5;14;9;MODO_1;TP;2,0;40,0;1;5440,0
2025-10-09 18:45:37.500;25252,25;2025-10-09 18:45:39.000;25250,25;LONG;25254,25;25250,25;3;14;11;MODO_1;SL;-2,0;-40,0;1;5400,0
2025-10-09 18:45:54.500;25253,0;2025-10-09 18:45:58.500;25251,0;SHORT;25251,0;25255,0;2;12;10;MODO_1;TP;2,0;40,0;1;5440,0
2025-10-09 18:47:00.500;25242,0;2025-10-09 18:47:10.000;25244,0;SHORT;25240,0;25244,0;4;7;3;MODO_1;SL;-2,0;-40,0;1;5400,0
2025-10-09 18:47:47.000;25251,5;2025-10-09 18:48:04.000;25249,5;LONG;25253,5;25249,5;5;6;1;MODO_1;SL;-2,0;-40,0;1;5360,0
2025-10-09 18:48:36.500;25248,0;2025-10-09 18:48:38.000;25250,0;LONG;25250,0;25246,0;10;2;-8;MODO_1;TP;2,0;40,0;1;5400,0
2025-10-09 18:49:13.500;25254,5;2025-10-09 18:49:30.000;25256,5;SHORT;25252,5;25256,5;10;2;-8;MODO_1;SL;-2,0;-40,0;1;5360,0
2025-10-09 18:49:47.500;25254,75;2025-10-09 18:50:05.000;25256,75;LONG;25256,75;25252,75;11;3;-8;MODO_1;TP;2,0;40,0;1;5400,0
2025-10-09 18:51:02.500;25254,75;2025-10-09 18:51:12.000;25252,75;SHORT;25252,75;25256,75;5;3;-2;MODO_1;TP;2,0;40,0;1;5440,0
2025-10-09 18:51:36.000;25249,5;2025-10-09 18:51:38.500;25251,5;LONG;25251,5;25247,5;8;4;-4;MODO_1;TP;2,0;40,0;1;5480,0
2025-10-09 18:52:35.500;25244,0;2025-10-09 18:52:37.500;25246,0;SHORT;25242,0;25246,0;7;4;-3;MODO_1;SL;-2,0;-40,0;1;5440,0
2025-10-09 18:53:00.000;25245,0;2025-10-09 18:53:11.500;25243,0;LONG;25247,0;25243,0;7;6;-1;MODO_1;SL;-2,0;-40,0;1;5400,0
2025-10-09 18:53:41.500;25241,5;2025-10-09 18:53:47.500;25243,5;LONG;25243,5;25239,5;8;12;4;MODO_1;TP;2,0;40,0;1;5440,0
2025-10-09 18:53:55.000;25241,5;2025-10-09 18:54:01.000;25243,5;LONG;25243,5;25239,5;8;22;14;MODO_1;TP;2,0;40,0;1;5480,0
2025-10-09 18:54:06.000;25242,75;2025-10-09 18:54:13.500;25240,75;SHORT;25240,75;25244,75;8;25;17;MODO_1;TP;2,0;40,0;1;5520,0
2025-10-09 18:54:54.000;25228,25;2025-10-09 18:55:00.000;25226,25;LONG;25230,25;25226,25;4;36;32;MODO_1;SL;-2,0;-40,0;1;5480,0
2025-10-09 18:55:01.000;25228,25;2025-10-09 18:55:03.500;25226,25;LONG;25230,25;25226,25;4;36;32;MODO_1;SL;-2,0;-40,0;1;5440,0
2025-10-09 18:55:18.000;25228,5;2025-10-09 18:55:30.000;25226,5;SHORT;25226,5;25230,5;6;37;31;MODO_1;TP;2,0;40,0;1;5480,0
2025-10-09 18:55:44.500;25227,75;2025-10-09 18:55:47.500;25225,75;SHORT;25225,75;25229,75;5;40;35;MODO_1;TP;2,0;40,0;1;5520,0
2025-10-09 18:55:59.000;25227,75;2025-10-09 18:56:00.000;25225,75;SHORT;25225,75;25229,75;5;40;35;MODO_1;TP;2,0;40,0;1;5560,0
2025-10-09 18:56:11.500;25227,75;2025-10-09 18:56:14.500;25225,75;SHORT;25225,75;25229,75;5;40;35;MODO_1;TP;2,0;40,0;1;5600,0
2025-10-09 18:56:41.000;25223,75;2025-10-09 18:56:43.000;25225,75;LONG;25225,75;25221,75;7;37;30;MODO_1;TP;2,0;40,0;1;5640,0
